Row	BroodID	PopID	BreedingSeason	Species	Plot	LocationID	FemaleID	MaleID	ClutchType_observed	ClutchType_calculated	LayDate	LayDateError	ClutchSize	ClutchSizeError	HatchDate	HatchDateError	BroodSize	BroodSizeError	FledgeDate	FledgeDateError	NumberFledged	NumberFledgedError	AvgEggMass	NumberEggs	AvgChickMass	NumberChicksMass	AvgTarsus	NumberChicksTarsus	ExperimentID
1	1976_pir_77_1	PIR	1976	CYACAE	pir	pir_77_NB	NA	NA	first	first	07/05/1976	NA	7	NA	26/05/1976	NA	7	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
2	1976_pir_115_1	PIR	1976	CYACAE	pir	pir_115_NB	NA	NA	first	first	08/05/1976	NA	6	NA	26/05/1976	NA	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
3	1976_pir_100_1	PIR	1976	CYACAE	pir	pir_100_NB	NA	NA	first	first	13/05/1976	NA	5	NA	30/05/1976	NA	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
4	1976_pir_118_1	PIR	1976	CYACAE	pir	pir_118_NB	NA	NA	first	first	14/05/1976	NA	8	NA	04/06/1976	NA	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
5	1976_pir_76_1	PIR	1976	CYACAE	pir	pir_76_NB	NA	NA	first	first	15/05/1976	NA	6	NA	31/05/1976	NA	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
6	1976_pir_5_1	PIR	1976	CYACAE	pir	pir_5_NB	NA	NA	first	first	19/05/1976	NA	6	NA	06/06/1976	NA	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
7	1976_pir_35_1	PIR	1976	CYACAE	pir	pir_35_NB	NA	NA	first	first	19/05/1976	NA	6	NA	06/06/1976	NA	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
8	1976_pir_91_1	PIR	1976	CYACAE	pir	pir_91_NB	NA	NA	first	first	21/05/1976	NA	7	NA	09/06/1976	NA	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
9	1976_pir_4_1	PIR	1976	PERATE	pir	pir_4_NB	NA	NA	first	first	11/04/1976	NA	6	NA	01/05/1976	NA	6	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
10	1976_pir_87_1	PIR	1976	PERATE	pir	pir_87_NB	NA	NA	first	first	22/04/1976	NA	5	NA	11/05/1976	NA	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
11	1976_pir_96_1	PIR	1976	PERATE	pir	pir_96_NB	NA	NA	first	first	28/04/1976	NA	5	NA	18/05/1976	NA	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
12	1976_pir_44_3	PIR	1976	PERATE	pir	pir_44_NB	NA	NA	replacement	replacement	15/05/1976	NA	5	NA	31/05/1976	NA	5	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
13	1976_pir_46_3	PIR	1976	PERATE	pir	pir_46_NB	NA	NA	replacement	replacement	18/05/1976	NA	5	NA	05/06/1976	NA	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
14	1976_pir_4_3	PIR	1976	PERATE	pir	pir_4_NB	NA	NA	replacement	replacement	22/05/1976	NA	3	NA	NA	NA	3	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
15	1977_pir_74_1	PIR	1977	CYACAE	pir	pir_74_NB	NA	NA	first	first	30/04/1977	NA	7	NA	20/05/1977	NA	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
16	1977_pir_115_1	PIR	1977	CYACAE	pir	pir_115_NB	NA	NA	first	first	30/04/1977	NA	7	NA	20/05/1977	NA	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
17	1977_pir_76_1	PIR	1977	CYACAE	pir	pir_76_NB	NA	NA	first	first	01/05/1977	NA	10	NA	04/06/1977	NA	5	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
